JND	Color	Subband	Threshold	Stepsize	Slope
4	1	LL5	0.003101	0.003101	0.000000
4	1	LH5	0.001974	0.002034	0.000647
4	1	HL5	0.001974	0.002034	0.000647
4	1	HH5	0.002114	0.002177	0.000717
4	1	LH4	0.002296	0.002365	0.000513
4	1	HL4	0.002296	0.002365	0.000513
4	1	HH4	0.002686	0.002767	0.000518
4	1	LH3	0.003085	0.003178	0.000674
4	1	HL3	0.003085	0.003178	0.000674
4	1	HH3	0.003742	0.003854	0.001724
4	1	LH2	0.006081	0.006264	0.001568
4	1	HL2	0.006081	0.006264	0.001568
4	1	HH2	0.011470	0.011814	0.004344
4	1	LH1	0.028654	0.029514	0.000645
4	1	HL1	0.028654	0.029514	0.000645
4	1	HH1	0.109863	0.113159	0.029073
4	2	LL5	0.005586	0.005586	0.000000
4	2	LH5	0.004054	0.004054	0.000000
4	2	HL5	0.004054	0.004054	0.000000
4	2	HH5	0.006863	0.006863	0.000000
4	2	LH4	0.010568	0.010568	0.000000
4	2	HL4	0.010568	0.010568	0.000000
4	2	HH4	0.500000	0.500000	0.000000
4	2	LH3	0.033297	0.033297	0.000000
4	2	HL3	0.033297	0.033297	0.000000
4	2	HH3	0.500000	0.500000	0.000000
4	2	LH2	0.500000	0.500000	0.000000
4	2	HL2	0.500000	0.500000	0.000000
4	2	HH2	0.500000	0.500000	0.000000
4	2	LH1	0.500000	0.500000	0.000000
4	2	HL1	0.500000	0.500000	0.000000
4	2	HH1	0.500000	0.500000	0.000000
4	3	LL5	0.004229	0.004229	0.000000
4	3	LH5	0.003848	0.003848	0.000000
4	3	HL5	0.003848	0.003848	0.000000
4	3	HH5	0.005717	0.005717	0.000000
4	3	LH4	0.005780	0.005780	0.000000
4	3	HL4	0.005780	0.005780	0.000000
4	3	HH4	0.007814	0.007814	0.000000
4	3	LH3	0.007964	0.007964	0.000000
4	3	HL3	0.007964	0.007964	0.000000
4	3	HH3	0.032399	0.032399	0.000000
4	3	LH2	0.027488	0.027488	0.000000
4	3	HL2	0.027488	0.027488	0.000000
4	3	HH2	0.500000	0.500000	0.000000
4	3	LH1	0.500000	0.500000	0.000000
4	3	HL1	0.500000	0.500000	0.000000
4	3	HH1	0.500000	0.500000	0.000000
